record_id,txn_date,reference,debit,credit,balance,narration,description
S-01,2026-08-02,UTR100201,,45000.00,,NEFT/ACME RETAIL/UTR100201,Clean receipt
S-02,2026-08-03,UTR100202,,128000.00,,IMPS/BLUEBIRD LOGISTICS/UTR100202,Clean receipt
S-03,2026-08-15,UTR100310,,66000.00,,RTGS/CEDAR SUPPLIES/UTR100310,Booked under a bank UTR the ledger does not use
S-04,2026-08-10,UTR100411,,18000.00,,UPI/DELTA MEDIA/UTR100411,Reference typo vs ledger
S-05,2026-08-20,UTR100520,,9000.00,,NEFT/EASTGATE FOODS/UTR100520,Credited 10 days after the ledger booking
S-06,2026-08-15,UTR5000-1,,22000.00,,IMPS/ACME RETAIL/UTR5000-1,Instalment 1 of invoice UTR5000
S-07,2026-08-16,UTR5000-2,,15000.00,,IMPS/ACME RETAIL/UTR5000-2,Instalment 2 of invoice UTR5000
S-08,2026-08-21,UTR100740,,12000.00,,UPI/BLUEBIRD LOGISTICS/UTR100740,Ledger has this booked twice
S-09,2026-08-11,UTR100850,,25000.00,,NEFT/CEDAR SUPPLIES/UTR100850,Bank shows more than the ledger expects
S-10,2026-08-13,UTR100860,,8000.00,,RTGS/DELTA MEDIA/UTR100860,Bank shows less than the ledger expects
S-11,2026-08-25,UTR200110,,5000.00,,UPI/EASTGATE FOODS/UTR200110,No ledger record
