record_id,order_ref,txn_date,gross,commission,gateway_fee,fees_total,refunds,chargebacks,net,description
M-P-01,ORD-9001,2026-08-02,5000.00,100.00,25.00,125.00,0.00,0.00,4875.00,Clean settlement
M-P-02,ORD-9002,2026-08-03,12500.00,250.00,62.50,312.50,0.00,0.00,12187.50,Clean settlement
M-P-03,ORD-8801,2026-08-15,6600.00,,,,,,6600.00,Internal payout id does not match the order ref
M-P-04,ORD-7788,2026-08-10,15000.00,,,,,,15000.00,Reference typo vs ledger
M-P-05,ORD-7790,2026-08-20,8000.00,,,,,,8000.00,Settled 10 days late
M-P-06,ORD-5000-1,2026-08-15,3500.00,,,,,,3500.00,Instalment 1 of order 5000
M-P-07,ORD-5000-2,2026-08-16,2500.00,,,,,,2500.00,Instalment 2 of order 5000
M-P-08,ORD-4001,2026-08-21,2000.00,,,,,,2000.00,Payout - ledger has this booked twice
M-P-09,ORD-6001,2026-08-11,5000.00,100.00,25.00,125.00,412.00,0.00,4463.00,Refund not recorded in ledger
M-P-10,ORD-6003,2026-08-13,3000.00,90.00,30.00,120.00,0.00,0.00,2880.00,Undisclosed fee vs ledger
M-P-11,ORD-3001,2026-08-23,10000.00,250.00,50.00,300.00,0.00,0.00,9750.00,Stated net does not foot
M-P-12,ORD-2001,2026-08-25,750.00,,,,,,750.00,No ledger record
M-P-13,ORD-2003,2026-08-26,4200.00,,,,,,4200.00,No ledger record
